,,,,,,
,,,,,,
,,,,,,
,Стоимость услуг ,,,,,
,,,,,,
,1. Услуги,Стоимость,Комментарий,,,
,50х70,"  25,00 ₽ ",35 x 45 х 4,"  6,00 ₽ ",,
,40х60,"  22,00 ₽ ",40 x 50 х 4,"  6,00 ₽ ",,
,5.3Прочие материалы,,5.4 ВПП (пакет),,5.5 Курьер пакет,
,Короб 60*40*40,"100,00 ₽",ВПП пакет 10х15,"7,00 ₽",10*15,"3,00 ₽"
,Паллета 120*80,"300,00 ₽",ВПП пакет 15х15,"8,00 ₽",11*21,"3,00 ₽"
,,,ВПП пакет 15х20,"10,00 ₽",15*21,"4,00 ₽"
,,,ВПП пакет 20х25,"12,00 ₽",17*24,"5,00 ₽"
,,,ВПП пакет 20х30,"13,00 ₽",19*24,"6,00 ₽"
,,,ВПП пакет 25х30,"14,00 ₽",24*32,"8,00 ₽"
,,,,,,
,,,,,,
,6. Отгрузка товара,,,,,
,Формирование короба,"50,00 ₽",,,,
,Формирование паллета,"400,00 ₽",,,,
,7. Логистика,,,,,
,Коледино,Короб,Паллет,Ozon Львовский,До куба,Паллет
,,450,3000,,4500,5500
,Электросталь,Короб,Паллет,Ozon Рига,До куба,Паллет
,,600,4000,,4500,6000
,Тула (Алексин),Короб,Паллет,Ozon Хоругвино,До куба,Паллет
,,600,4000,,4500,6500
,Казань,Короб,Паллет,Ozon Пушкино,До куба,Паллет
,,700,6000,,4500,6000
,Краснодар,Короб,Паллет,Ozon Жуковский,До куба,Паллет
,,800,8000,,4000,5500
,Невиномысск,Короб,Паллет,Ozon Софьино,До куба,Паллет
,,800,8000,,4000,5500
,Санкт-Петербург Уткина Заводь(Временно не отгружаем),Короб,Паллет,Ozon Гривно,До куба,Паллет
,,700,7000,,4000,5000
,Подольск,Короб,Паллет,Ozon Черная грязь,До куба,Паллет
,,500,3000,,4500,6500
,Белые столбы,Короб,Паллет,Ozon Воровского,До куба,Паллет
,,600,3500,,4000,5500
,Рязань,Короб,Паллет,Ozon все СЦ по Москве,До куба,Паллет
,,600,4000,,3500,5000
,Новосемейкино,Короб,Паллет,,,
,,900,8500,,,
,Сарапул,Короб,Паллет,,,
,,800,7000,,,
,Екатеринбург,Короб,Паллет,,,
,,950,8500,,,
,Котовск ,Короб,Паллет,,,
,,650,6500,,,
