ID сотрудника,Номера палета,Номер короба ,Баркод,Название товара (идет в этикетку),Кол-во,Склад,Баркод короба
,,12,2044283695001,Шлем боксерский белый L,12,Невинномысск,WB_1499481096
,,13,2044283688102,Шлем боксерский красный M,12,Невинномысск,WB_1499481097
,,14,2044283695001,Шлем боксерский белый L,12,Невинномысск,WB_1499481098
,,15,2044283645181,Шлем боксерский черный  M,12,Невинномысск,WB_1499481099
,,16,2044283645174,Шлем боксерский черный  S,12,Невинномысск,WB_1499481100
,,,,,,,
,,1,2044283645198,Шлем боксерский черный L,5,Воронеж(самовывоз),WB_1502504248
,,1,2044283645181,Шлем боксерский черный  M,4,Воронеж(самовывоз),WB_1502504248
,,2,2044283695001,Шлем боксерский белый L,1,Воронеж(самовывоз),"WB_1502504249
"
,,2,2044283645174,Шлем боксерский черный  S,2,Воронеж(самовывоз),"WB_1502504249
"
,,2,2044283688119,Шлем боксерский красный L,3,Воронеж(самовывоз),"WB_1502504249
"
,,2,2044283688102,Шлем боксерский красный M,3,Воронеж(самовывоз),"WB_1502504249
"
,,2,2044283694998,Шлем боксерский белый M,1,Воронеж(самовывоз),"WB_1502504249
"
,,3,2044283688096,Шлем боксерский красный S,10,Воронеж(самовывоз),WB_1502504250
,,4,2044283645198,Шлем боксерский черный L,12,Воронеж(самовывоз),WB_1502504251
,,5,2044283645174,Шлем боксерский черный  S,12,Воронеж(самовывоз),WB_1502504252
,,6,2044283694998,Шлем боксерский белый M,12,Воронеж(самовывоз),WB_1502504253
,,7,2044283688102,Шлем боксерский красный M,12,Воронеж(самовывоз),WB_1502504254
,,8,2044283695001,Шлем боксерский белый L,12,Воронеж(самовывоз),WB_1502504255
,,9,2044283694981,Шлем боксерский белый S,10,Воронеж(самовывоз),WB_1502504256
,,9,2044283645174,Шлем боксерский черный  S,3,Воронеж(самовывоз),WB_1502504256
,,10,2044283688119,Шлем боксерский красный L,12,Воронеж(самовывоз),WB_1502504257
,,11,2044283645198,Шлем боксерский черный L,12,Воронеж(самовывоз),WB_1502504258
,,12,2044283645181,Шлем боксерский черный  M,12,Воронеж(самовывоз),WB_1502504259
,,13,2044283695001,Шлем боксерский белый L,12,Воронеж(самовывоз),"WB_1502504260
"
,,14,2044283645181,Шлем боксерский черный  M,12,Воронеж(самовывоз),WB_1502504261
,,15,2044283694998,Шлем боксерский белый M,12,Воронеж(самовывоз),"WB_1502504262
"
,,16,2044283645181,Шлем боксерский черный  M,12,Воронеж(самовывоз),WB_1502504263
,,,,,,,
